respID,qID,altID,obsID,price,quantity,material,setOptions,image
1,1,1,1,25,150,Bamboo,fk,Bamboofk.jpg
1,1,2,1,25,150,Eco,f,Ecof.jpg
1,1,3,1,20,50,Plastic,f,Plasticf.jpg
1,2,1,2,20,150,Bamboo,fk,Bamboofk.jpg
1,2,2,2,20,200,Eco,fks,Ecofks.jpg
1,2,3,2,20,200,Plastic,fks,Plasticfks.jpg
1,3,1,3,25,50,Bamboo,f,Bamboof.jpg
1,3,2,3,30,50,Eco,fks,Ecofks.jpg
1,3,3,3,25,150,Plastic,f,Plasticf.jpg
1,4,1,4,30,50,Bamboo,f,Bamboof.jpg
1,4,2,4,30,50,Eco,fks,Ecofks.jpg
1,4,3,4,25,50,Plastic,fk,Plasticfk.jpg
1,5,1,5,20,200,Bamboo,fks,Bamboofks.jpg
1,5,2,5,25,200,Eco,fk,Ecofk.jpg
1,5,3,5,30,150,Plastic,fks,Plasticfks.jpg
1,6,1,6,25,50,Bamboo,f,Bamboof.jpg
1,6,2,6,25,200,Eco,f,Ecof.jpg
1,6,3,6,30,50,Plastic,fks,Plasticfks.jpg
1,7,1,7,25,50,Bamboo,f,Bamboof.jpg
1,7,2,7,30,50,Eco,fks,Ecofks.jpg
1,7,3,7,20,50,Plastic,fk,Plasticfk.jpg
1,8,1,8,30,200,Bamboo,fk,Bamboofk.jpg
1,8,2,8,30,50,Eco,fk,Ecofk.jpg
1,8,3,8,20,200,Plastic,fks,Plasticfks.jpg
2,1,1,9,30,200,Bamboo,fk,Bamboofk.jpg
2,1,2,9,25,150,Eco,f,Ecof.jpg
2,1,3,9,30,200,Plastic,f,Plasticf.jpg
2,2,1,10,20,150,Bamboo,fks,Bamboofks.jpg
2,2,2,10,20,200,Eco,f,Ecof.jpg
2,2,3,10,30,200,Plastic,fk,Plasticfk.jpg
2,3,1,11,30,150,Bamboo,f,Bamboof.jpg
2,3,2,11,30,150,Eco,fk,Ecofk.jpg
2,3,3,11,20,50,Plastic,f,Plasticf.jpg
2,4,1,12,30,200,Bamboo,fk,Bamboofk.jpg
2,4,2,12,20,200,Eco,fks,Ecofks.jpg
2,4,3,12,20,150,Plastic,f,Plasticf.jpg
2,5,1,13,25,200,Bamboo,fks,Bamboofks.jpg
2,5,2,13,20,200,Eco,fks,Ecofks.jpg
2,5,3,13,30,200,Plastic,fk,Plasticfk.jpg
2,6,1,14,30,200,Bamboo,fk,Bamboofk.jpg
2,6,2,14,20,150,Eco,fk,Ecofk.jpg
2,6,3,14,20,50,Plastic,f,Plasticf.jpg
2,7,1,15,25,150,Bamboo,fk,Bamboofk.jpg
2,7,2,15,30,150,Eco,fk,Ecofk.jpg
2,7,3,15,25,50,Plastic,fk,Plasticfk.jpg
2,8,1,16,25,50,Bamboo,f,Bamboof.jpg
2,8,2,16,25,200,Eco,f,Ecof.jpg
2,8,3,16,20,150,Plastic,f,Plasticf.jpg
3,1,1,17,20,200,Bamboo,fks,Bamboofks.jpg
3,1,2,17,30,150,Eco,fk,Ecofk.jpg
3,1,3,17,20,150,Plastic,f,Plasticf.jpg
3,2,1,18,30,50,Bamboo,f,Bamboof.jpg
3,2,2,18,25,150,Eco,f,Ecof.jpg
3,2,3,18,30,200,Plastic,fk,Plasticfk.jpg
3,3,1,19,20,50,Bamboo,fk,Bamboofk.jpg
3,3,2,19,20,200,Eco,fks,Ecofks.jpg
3,3,3,19,25,50,Plastic,fk,Plasticfk.jpg
3,4,1,20,30,200,Bamboo,f,Bamboof.jpg
3,4,2,20,20,150,Eco,fk,Ecofk.jpg
3,4,3,20,30,150,Plastic,fks,Plasticfks.jpg
3,5,1,21,30,50,Bamboo,f,Bamboof.jpg
3,5,2,21,20,200,Eco,f,Ecof.jpg
3,5,3,21,30,50,Plastic,fks,Plasticfks.jpg
3,6,1,22,25,150,Bamboo,fk,Bamboofk.jpg
3,6,2,22,20,200,Eco,fks,Ecofks.jpg
3,6,3,22,30,150,Plastic,fks,Plasticfks.jpg
3,7,1,23,30,150,Bamboo,f,Bamboof.jpg
3,7,2,23,20,150,Eco,fk,Ecofk.jpg
3,7,3,23,25,150,Plastic,f,Plasticf.jpg
3,8,1,24,25,200,Bamboo,fks,Bamboofks.jpg
3,8,2,24,20,50,Eco,f,Ecof.jpg
3,8,3,24,25,50,Plastic,fk,Plasticfk.jpg
4,1,1,25,20,50,Bamboo,fk,Bamboofk.jpg
4,1,2,25,30,150,Eco,fk,Ecofk.jpg
4,1,3,25,30,50,Plastic,fks,Plasticfks.jpg
4,2,1,26,25,150,Bamboo,fk,Bamboofk.jpg
4,2,2,26,20,200,Eco,fks,Ecofks.jpg
4,2,3,26,20,50,Plastic,fk,Plasticfk.jpg
4,3,1,27,25,50,Bamboo,fks,Bamboofks.jpg
4,3,2,27,30,150,Eco,fk,Ecofk.jpg
4,3,3,27,30,150,Plastic,fks,Plasticfks.jpg
4,4,1,28,20,150,Bamboo,fk,Bamboofk.jpg
4,4,2,28,30,150,Eco,fk,Ecofk.jpg
4,4,3,28,25,200,Plastic,fk,Plasticfk.jpg
4,5,1,29,25,50,Bamboo,fks,Bamboofks.jpg
4,5,2,29,20,50,Eco,f,Ecof.jpg
4,5,3,29,30,200,Plastic,fk,Plasticfk.jpg
4,6,1,30,25,50,Bamboo,fks,Bamboofks.jpg
4,6,2,30,30,50,Eco,fks,Ecofks.jpg
4,6,3,30,30,50,Plastic,fks,Plasticfks.jpg
4,7,1,31,30,200,Bamboo,f,Bamboof.jpg
4,7,2,31,25,200,Eco,fk,Ecofk.jpg
4,7,3,31,25,150,Plastic,fks,Plasticfks.jpg
4,8,1,32,30,200,Bamboo,f,Bamboof.jpg
4,8,2,32,25,150,Eco,f,Ecof.jpg
4,8,3,32,25,150,Plastic,f,Plasticf.jpg
5,1,1,33,20,150,Bamboo,fks,Bamboofks.jpg
5,1,2,33,25,50,Eco,fks,Ecofks.jpg
5,1,3,33,20,150,Plastic,f,Plasticf.jpg
5,2,1,34,30,50,Bamboo,f,Bamboof.jpg
5,2,2,34,30,50,Eco,fks,Ecofks.jpg
5,2,3,34,30,200,Plastic,fk,Plasticfk.jpg
5,3,1,35,30,150,Bamboo,f,Bamboof.jpg
5,3,2,35,25,200,Eco,fk,Ecofk.jpg
5,3,3,35,20,50,Plastic,fk,Plasticfk.jpg
5,4,1,36,20,200,Bamboo,fks,Bamboofks.jpg
5,4,2,36,20,50,Eco,f,Ecof.jpg
5,4,3,36,30,200,Plastic,fk,Plasticfk.jpg
5,5,1,37,20,150,Bamboo,fks,Bamboofks.jpg
5,5,2,37,25,200,Eco,f,Ecof.jpg
5,5,3,37,20,50,Plastic,f,Plasticf.jpg
5,6,1,38,20,200,Bamboo,fks,Bamboofks.jpg
5,6,2,38,25,200,Eco,f,Ecof.jpg
5,6,3,38,25,50,Plastic,fk,Plasticfk.jpg
5,7,1,39,30,150,Bamboo,f,Bamboof.jpg
5,7,2,39,20,150,Eco,fk,Ecofk.jpg
5,7,3,39,25,200,Plastic,fk,Plasticfk.jpg
5,8,1,40,30,150,Bamboo,f,Bamboof.jpg
5,8,2,40,20,200,Eco,f,Ecof.jpg
5,8,3,40,30,150,Plastic,fks,Plasticfks.jpg
6,1,1,41,30,50,Bamboo,f,Bamboof.jpg
6,1,2,41,20,50,Eco,f,Ecof.jpg
6,1,3,41,20,150,Plastic,f,Plasticf.jpg
6,2,1,42,25,200,Bamboo,fks,Bamboofks.jpg
6,2,2,42,30,50,Eco,fk,Ecofk.jpg
6,2,3,42,30,50,Plastic,fks,Plasticfks.jpg
6,3,1,43,20,200,Bamboo,fks,Bamboofks.jpg
6,3,2,43,25,200,Eco,fk,Ecofk.jpg
6,3,3,43,20,50,Plastic,f,Plasticf.jpg
6,4,1,44,30,200,Bamboo,fk,Bamboofk.jpg
6,4,2,44,20,200,Eco,fks,Ecofks.jpg
6,4,3,44,25,150,Plastic,fks,Plasticfks.jpg
6,5,1,45,20,150,Bamboo,fk,Bamboofk.jpg
6,5,2,45,30,150,Eco,fk,Ecofk.jpg
6,5,3,45,25,150,Plastic,fks,Plasticfks.jpg
6,6,1,46,25,50,Bamboo,f,Bamboof.jpg
6,6,2,46,20,150,Eco,fk,Ecofk.jpg
6,6,3,46,30,50,Plastic,fks,Plasticfks.jpg
6,7,1,47,30,50,Bamboo,f,Bamboof.jpg
6,7,2,47,20,200,Eco,fks,Ecofks.jpg
6,7,3,47,20,50,Plastic,f,Plasticf.jpg
6,8,1,48,20,150,Bamboo,fks,Bamboofks.jpg
6,8,2,48,30,50,Eco,fks,Ecofks.jpg
6,8,3,48,30,200,Plastic,fk,Plasticfk.jpg
7,1,1,49,30,200,Bamboo,fk,Bamboofk.jpg
7,1,2,49,30,50,Eco,fks,Ecofks.jpg
7,1,3,49,20,200,Plastic,fks,Plasticfks.jpg
7,2,1,50,25,50,Bamboo,fks,Bamboofks.jpg
7,2,2,50,30,50,Eco,fk,Ecofk.jpg
7,2,3,50,20,200,Plastic,fks,Plasticfks.jpg
7,3,1,51,30,200,Bamboo,f,Bamboof.jpg
7,3,2,51,30,150,Eco,fks,Ecofks.jpg
7,3,3,51,20,50,Plastic,fk,Plasticfk.jpg
7,4,1,52,20,150,Bamboo,fk,Bamboofk.jpg
7,4,2,52,25,200,Eco,f,Ecof.jpg
7,4,3,52,25,50,Plastic,fk,Plasticfk.jpg
7,5,1,53,30,50,Bamboo,f,Bamboof.jpg
7,5,2,53,20,150,Eco,fk,Ecofk.jpg
7,5,3,53,30,150,Plastic,fks,Plasticfks.jpg
7,6,1,54,20,150,Bamboo,fk,Bamboofk.jpg
